Nation,Region,Recognition,Address,Website
Cedarville Rancheria,Pacific,Federal,"300 W 1st St, Alturas, CA96101-3905",http://www.citlink.net/~cedranch/Cedarville_Rancheria/Welcome.html
Central Council Tlingit & Haida Indian Tribes of Alaska,Alaska,Federal,"320 W Willoughby Ave Ste 300, Juneau, AK99801-1772",http://www.ccthita.org
Chalkyitsik Village,Alaska,Federal,"PO Box 57, Chalkyitsik, AK99788-0057",
Chappaquiddick Tribe of the Wampanoag Nation,Northeast,State,"P.O. Box 2659, Edgartown , MA02539",https://chappaquiddickwampanoag.org/
Cheesh-Na Tribal Council,Alaska,Federal,"HC1 Box 217, Gakona, AK99586-9707",
Chemehuevi Tribe,Western,Federal,"PO Box 1976, Havsau Lake, CA92363",http://www.chemehuevi.net
Cher-Ae Heights Indian Community of the Trinidad Rancheria,Pacific,Federal,"PO Box 630, Trinidad, CA95570-0630",http://www.trinidad-rancheria.org
Cher-O-Creek Intra Tribal Indians,Southeast,State,"1315 Northfield Circle, Dothan, AL36303",
Cheroenhaka (Nottoway) Indian Tribe,Southeast,State,"P.O. Box 397, Courtland, VA23837",https://cheroenhaka-nottoway.org/home.htm
Cherokee Nation,Eastern Oklahoma,Federal,"PO Box 948, Tahlequah, OK74465-0948",http://www.cherokee.org
Cherokee Tribe of Northeast Alabama,Southeast,State,"PO Box 876, Pinson , AL35126",https://cherokeetribeofnortheastalabama.org/
Cherokees of Southeast Alabama,Southeast,State,"PO Box 36302, Dothan, AL",
Chevak Native Village,Alaska,Federal,"PO Box 140, Chevak, AK99563-0140",
Cheyenne Arapaho Tribes of Oklahoma,Southern Plains,Federal,"PO Box 167 - 100 Red Moon Circle, Concho, OK73022-0038",https://www.c-a-tribes.org/
Cheyenne River Sioux Tribe,Great Plains,Federal,"PO Box 590, Eagle Butte, SD57625-0590",http://www.sioux.org
Chickahominy Indian Tribe,Northeast,State,"8200 Lott Cary Road, Providence Forge , VA23030",http://www.chickahominytribe.org
Chickaloon Native Village,Alaska,Federal,"PO Box 1105, Chickaloon, AK99674-1105",http://www.chickaloon.org
Chickasaw Nation,Eastern Oklahoma,Federal,"PO Box 1548, Ada, OK74821-1548",http://www.chickasaw.net
Chicken Ranch Rancheria of Me-Wuk Indians of California,Pacific,Federal,"PO Box 1159, Jamestown, CA95327-1159",
Chignik Bay Tribal Council,Alaska,Federal,"P.O. Box 11, Chignik Bay, AK99564",
Chignik Lake Village Council,Alaska,Federal,"PO Box 33, Chignik Lake, AK99548",http://www.chigniklagoon.net
Chilkat Indian Village (Klukwan)(IRA),Alaska,Federal,"PO Box 2207, Haines, AK99827-0210",http://www.chilkatindianvillage.org
Chilkoot Indian Association (IRA),Alaska,Federal,"PO Box 490, Haines, AK99827-0490",http://chilkoot-nsn.gov
Chinik Eskimo Community (aka Golovin),Alaska,Federal,"PO Box 62020, Golovin, AK99762-6020",http://www.kawerak.org
Chinook Indian Tribe,Northwest,State,"PO Box 368, Bay Center, WA98527-0368",http://www.chinooknation.org
Chippewa Cree Tribe of the Rocky Boy's Reservation,Rocky Mountain,Federal,"96 Clinic Road, Box Elder, MT59521-8849",https://tribalnations.mt.gov/chippewacree
Chitimacha Indian Tribe of Louisiana,Southeast,Federal,"PO Box 661, Charenton, LA70523-0661",http://www.chitimacha.gov
Chitina Traditional Indian Village Council,Alaska,Federal,"PO Box 31, Chitina, AK99566-0031",
Choctaw Nation of Oklahoma,Eastern Oklahoma,Federal,"PO Box 1210, Durant, OK74702-1210",http://www.choctawnation.com
Choctaw-Apache Community of Ebarb,Southeast,State,"PO Box 1428, Zwolle, LA71486-1428",http://www.choctaw-apache.org
Chuloonawick Native Village,Alaska,Federal,"PO Box 245, Emmonak, AK99581-0245",http://www.chuloonawick.org
Circle Native Community (IRA),Alaska,Federal,"PO Box 89, Circle, AK99733-0089",
Citizen Potawatomi Nation,Southern Plains,Federal,"1601 Gordon Cooper Drive, Shawnee, OK74801-9002",http://www.potawatomi.org
Cloverdale Rancheria,Pacific,Federal,"555 S Cloverdale Blvd Ste A, Cloverdale, CA95425-4020",http://www.cloverdalerancheria.com
